_id,best_profession,hard_skills,soft_skills
74571137,флорист,Составление композиций;Уход за цветами;Опыт флориста,Коммуникация и работа с клиентами;Выявление потребностей;Доброжелательность и вежливость;Клиентоориентированность;Желание развиваться в сфере флористики;Внутренняя самодисциплина
74572644,менеджер по туризму,Опыт в туризме;Системы бронирования туров;Знание турбазы;Работа с клиентами;работа с потоком клиентов в соцсетях;Работа с клиентами;Туры;Договоры;Оплата;Бронирование;предоставление информации по туру;отслеживание отправления и возвращения клиента,Выявление потребностей;ответственность;исполнительность;доброжелательность;честность;Командная работа
74574403,воспитатель,воспитатель;Общий опыт работы,энергичный;веселый;Креативность;профессионал своего дела
74575238,слесарь по ремонту автомобилей,Должностная инструкция автомеханика;Обслуживание автотранспорта;Техника безопасности;Диагностика;Ремонт техники,Планирование работы;Концентрация;Максимальный вклад в общее дело
74577646,smm-менеджер,съемка фото и видео на смартфон;монтаж видео;знание видеомонтажных программ;Понимание дизайна;Понимание композиции;опыт продвижения медиаконтента в социальных сетях;Instagram;Vk;Telegram;подготовка коротких видеороликов;feature-видео;caption-видео;Архивация;Копирайтинг;адаптация текстов под стилистику и тональность компании;Конкурсы;проведение опросов;проведение марафонов;создание увлекательного контента в соц.сетях,Вкус;Интерес к трендам;Интерес к трендам;Обучаемость и адаптивность;Командная работа;Соблюдение сроков;работа в постоянно изменяющейся среде;Инициативность;пунктуальность;коммуникабельность;гибкость;креативность;честность;чуткое чувство стиля;Эстетический вкус;Ответственность;Соблюдение сроков;Оперативность;внимательность
74578009,менеджер по туризму,Продажи;Продажи;реализовывать услуги компании;Выполнение плана продаж;проводить мероприятия для партнеров;Работа с крупными чеками;работать в amoCRM-системе,Коммуникация и работа с клиентами;Коммуникация и работа с клиентами;системный подход;основательный подход;настойчивый;Позитивный настрой;Стремление к развитию
74579229,менеджер по продажам,Обработка входящих запросов/звонков;Коммерческие предложения;Оформление документов;Оформление документов;Оформление документов;Выполнение плана продаж;Поиск клиентов;Поиск клиентов;Холодные звонки;Excel;Владение ПК,Презентабельный внешний вид;Доброжелательность и вежливость;Грамотность речи;Коммуникация и работа с клиентами;Дисциплинированность;Ответственность;Ориентация на результат;Умение убеждать;Командная работа;Коммуникация и работа с клиентами
74583160,медсестра/медбрат,Уход и контроль за подопечными;Уход и контроль за подопечными;Соблюдение рекомендаций врача;Измерение артериального давления;Гигиенические процедуры;Бытовое обслуживание;Организация досуга;Соблюдение диеты,Ответственность;Опыт
74586738,флорист,,Аккуратность и пунктуальность;Ответственность;Аккуратность и пунктуальность
74588368,повар,приготовление сендвичей,Поддержание порядка;Соблюдение норм;Соблюдение норм;Соблюдение норм;Ответственность;Соблюдение сроков;Инициативность;Обучаемость и адаптивность
74588623,менеджер по продажам,Работа с маркетплейсами;Работа с карточками товаров;Работа с карточками товаров;Русский язык,ответы на вопросы покупателей;Грамотность речи;Коммуникация и работа с клиентами;Обучаемость и адаптивность;пунктуальность;Командная работа
74590213,дизайнер интерьера,Фотореалистичная визуализация;Опыт работы с графическими редакторами 3ds Max;Опыт работы с графическими редакторами Corona;Навыки объемно-пространственной композиции,Соблюдение сроков;Работа по техническому заданию;Эстетический вкус;Креативность
74591041,сварщик,работа вахтовым методом,стабильность;Честность и порядочность;Доброжелательность и вежливость
74592572,ветеринарный врач,Терапевтический приём;Хирургическое вмешательство;Интерпретация анализов;Разработка плана лечения;Контроль амбулаторных карт;Корректировка;Работа с клиентами;Высшее образование;Практический опыт работы ветеринарным хирургом;Доказательные принципы,Любовь к животным;Желание помочь их владельцам;Стремление к развитию;Совершенствование знаний;Самоорганизация;Коммуникация и работа с клиентами;Многозадачность и работа с информацией
74593724,следователь,рассмотрение материалов;доследственная проверка;Высшее образование,
74593931,ветеринарный врач,физиология;анатомия животных;перевязки;операции;вскрытия;болезни животных;методики обследования;лечение заболеваний;современные лекарства;медицинское оборудование;высшее образование,Память;Аналитическое мышление;крепкие нервы;Оперативность;исполнительность
74594500,менеджер по туризму,Туры;Обработка входящих запросов/звонков;Работа с клиентами;Работа с клиентами;Работа с клиентами;Бронирование;Организация трансферов;Питание;Организация других услуг;Документооборот;Ведение туристов в полном цикле тура;Высшее образование;Специализированное образование;Свободное владение узбекским языком;Русский язык;Word;Excel;Знание Power Point;Битрикс;Знание турбазы;Знание турбазы,Коммуникация и работа с клиентами;Коммуникация и работа с клиентами;Клиентоориентированность;Ориентация на результат;Доброжелательность и вежливость;Обучаемость и адаптивность;Аккуратность и пунктуальность;Коммуникация и работа с клиентами;Креативность;Стрессоустойчивость;Аккуратность и пунктуальность
74599781,таргетолог,Разработка стратегии;Разработка офферов;Создание рекламных креативов;Запуск рекламы через рекламный кабинет Фейсбук;Работа с CRM;Базовые навыки работы в программах Adobe Photoshop;Умение создавать продающие офферы и сильные смыслы,Коммуникация и работа с клиентами;Креативность;Обучаемость и адаптивность;Ответственность;Коммуникация и работа с клиентами;Умение избегать конфликтных ситуаций
74601566,маркетолог,Исследование рынка;Исследование рынка;Изучение поведения потребителей;Выбор целевого рынка;Разработка конкурентного преимущества;Разработка стратегии;Тактическое управление товаром компании;Контроль документов;Анализ результатов работ,Коммуникация и работа с клиентами
74601803,smm-менеджер,разработка сторитейлинга;съёмки интересных моментов в формате Live;создание трендовых риелс;ведение аккаунта в Инстаграмм;дублирование контента;Разработка концепции съёмок;Реализация съёмок;контроль выхода публикаций;запуск активностей и конкурсов;анализ популярных и интересных блоггеров;подбор интересных кандидатов для сотрудничества;развитие реализуемого бренда,участие в повседневной жизни студии;Креативность;Продуктивность;осознанный подход к работе;Инициативность;Командная работа;Самоорганизация;Стремление к развитию
74602640,фармацевт,Владение ПК;Работа с 1С;Казахский язык;Русский язык,пунктуальность;коммуникабельность;чистоплотность
74602696,бухгалтер ,Работа с маркетплейсами;Первичная бухгалтерия;обработка первичной документации;Оформление документов;Контроль документов;ввод реквизитов;Отчетность;Оформление документов;Оформление документов;перечисление денежных средств;Отчетность;выполнение поручений руководителя;Взаиморасчеты;Сверки;составление писем;Контроль документов;запрос документов;Учетные документы;Учетные документы;Документы;Оформление документов;Архивация;Контроль документов;Архивация;Отчетность;Работа с 1С;знание программы SoykaSoft,пунктуальность;внимательность;усидчивость;Обучаемость и адаптивность
74603977,бухгалтер ,Внесение и списание товаров в базу данных склада;Контроль и учет ТМЦ;Оформление отгрузочных листов и доверенностей;Контроль и учет ТМЦ;Поддержание чистой номенклатурной базы;Взаимодействие с ИФНС;Отчетность;Первичная бухгалтерия;Сверки;Инвентаризация;Обмен документацией;Корректировка;Исправления и акты по разногласиям;Согласование документов в ЭДО;Налоговый учет;Бухгалтерский учет;Бухгалтерский опыт;Взаиморасчеты;Полная зона ответственности за участок;Работа с 1С;Word;Excel;Уверенный пользователь Диадок;Уверенный пользователь Мой склад,Самоорганизация;Планирование работы;Доброжелательность и вежливость;Многозадачность и работа с информацией;Грамотная устная речь;Грамотность речи;Коммуникация и работа с клиентами;Порядочность;Дисциплинированность;Здоровый педантизм
74607163,бухгалтер ,Бухгалтерский учет;Налоговый учет;Отчетность;Владение ПК;Знание 1С 7.7;Опыт работы с агентскими договорами;Бухгалтерский учет;Налоговый учет;Заработная плата;Заработная плата;Отчетность в ФСЗН;Отчетность в Белгосстрах;Отчетность;Отчетность;Сверки;Взаиморасчеты;Закрытие периодов;Мониторинг изменений законодательства;Документооборот,Активность и проактивность;Инициативность;Ответственность
74607276,менеджер по продажам,Продажи;консультация спортивных товаров;работа с АВИТО;Закупка и подбор товара;Доставка;расчет стоимости установки оборудования;выявление потребности;Оформление документов;работа с возражениями;презентация оборудования;Работа с 1С;Договоры;Владение ПК;Продажи;Работа с информацией,коммуникабельность;пунктуальность;ответственность;стрессоустойчивость;Память
74607603,медсестра/медбрат,Сопровождение подопечных;Гигиенические процедуры;Помощь в приеме пищи;Уход и контроль за подопечными;Смена нательного и постельного белья;Сопровождение подопечных;Уход и контроль за подопечными,Коммуникация и работа с клиентами;Милосердие;Уважение к пожилым людям;Понимание специфики ухода за различными категориями лиц;Ответственность;Аккуратность и пунктуальность;Аккуратность и пунктуальность;Активность и проактивность;Трудолюбие
74610449,менеджер по туризму,"Обработка входящих запросов/звонков;Продажи;Работа с клиентами;оформление договоров с туристами;Бронирование;контроль оплат;постпродажное обслуживание;сбор, оформление и подача документов на визу;выполнение плана продаж;посещение обучающих мероприятий;Опыт в туризме;знание географии;Знание турбазы;Зарубежные поездки;Системы бронирования туров;Системы бронирования туров;Знание турпродукта;Системы бронирования туров;уверенный пользователь ПК;знание Word;знание Excel;знание Power Point;знание Acrobat;Работа с CRM",Многозадачность и работа с информацией;Многозадачность и работа с информацией;Ориентация на результат;умение работать в команде;вовлеченность в процесс и сферу деятельности;Коммуникация и работа с клиентами;Грамотность речи;стрессоустойчивость;дисциплинированность;внимательность;исполнительность
74611595,менеджер по продажам,Поиск клиентов;Работа с клиентами;Вывод на подписание договора;Продажи;Размещение на площадках;Обработка входящих запросов/звонков,Стрессоустойчивость;Оперативность;Обучаемость и адаптивность;Принятие решений
74614575,smm-менеджер,разработка и реализация SMM стратегии и контент плана;Создание контента;Создание контента;анализ аккаунтов конкурентов;разработка механик вовлечения аудитории;коллаборации с блогерами и партнерами;Конкурсы;разработка чек-листов/тестов;Копирайтинг;увеличение охватов и активности аккаунта;грамотная письменная казахская и русская речь;владение мобилографией;Опыт SMM;понимание специфики соцсетей и трендов SMM,креативность;Нестандартное мышление;Ответственность;скорость;внимательность;Ориентация на результат
74615158,менеджер по работе с клиентами,Товары,Коммуникация и работа с клиентами;Поддержание порядка;Аккуратность и пунктуальность;Желание работать;Коммуникация и работа с клиентами
74615846,бизнес-аналитик,Оформление документов;Ввод и обработка данных;Анализ электронных таблиц;Создание диаграмм и графиков;Создание карт процессов;Исследование рынка;Административные задания,
74618351,инженер-конструктор,Конструкторская документация;использование средств автоматизированного проектирования;разработка и оформление КД сложных деталей с натуры;изучение и применение современных технологий проектирования деталей и узлов;Высшее образование;опыт работы в качестве инженера-конструктора на производственном предприятии;Конструкторская документация;опыт работы со станками ЧПУ;уверенный пользователь ПК;Word;Excel;Компас 3D;CATIA,Готовность к командировкам
74619096,менеджер по продажам,Битрикс;Продажи;работа с продуктовой воронкой;Инструменты продаж;Обработка входящих запросов/звонков;работа по теплой базе;Поиск клиентов;выполнение плана продаж;Битрикс;предоставление ежедневных отчетов;Оформление документов;Продажи;Русский язык;Казахский язык;Excel;PowerPoint;Word,Командная работа;нацеленность на результат;Грамотность речи;исполнительность;ответственность;коммуникабельность;Позитивный настрой
74619597,менеджер по работе с клиентами,Битрикс;Продажи;работа с продуктовой воронкой;Инструменты продаж;Обработка входящих запросов/звонков;работа по теплой базе;Поиск клиентов;выполнение плана продаж;Битрикс;предоставление ежедневных отчетов;Оформление документов;Продажи;Русский язык;Казахский язык;Excel;PowerPoint;Word,Командная работа;нацеленность на результат;Грамотность речи;исполнительность;ответственность;коммуникабельность;Позитивный настрой
74624335,менеджер интернет магазина,управление интернет-магазином;продвижение;разработка;сервис;Заказы;логистика;управление качеством сервиса;владение инструментами привлечения трафика;SEO;контекст;увеличение конверсии лендинга;увеличение среднего чека;Работа с 1С;Битрикс;знание web-аналитики;Яндекс.Метрика;Google Analytics;анализ ца;Закупка и подбор товара;системы лояльности для клиентов;Инвентаризация;проведение сверок;анализ остатков;Продажи,коммуникация с клиентами;Командная работа;система мотивации сотрудников;Самоорганизация;умение работать в режиме многозадачности;Коммуникация и работа с клиентами;лидерские качества;внимательность;ответственность;Ориентация на результат;Инициативность
74626644,менеджер по продажам,Обработка входящих запросов/звонков;Исходящие звонки;Продажи;Работа с клиентами;Отправка документов по e-mail;Отправка документов по e-mail;Работа с клиентами;Работа с CRM;Доставка;Документооборот;Продажи;Опыт работы в Call-центре;Продажи;Продажи;Авто грузоперевозки;Ж/д грузоперевозки;Контейнерные грузоперевозки;Опыт работы в АТИ,Инициативность
74629438,медсестра/медбрат,Уход и контроль за подопечными;пересаживание на санитарный стул;занятия ЛФК,физическая крепость;выносливость;Ориентация на результат;опыт
74632593,воспитатель,,Аккуратность и пунктуальность;Стрессоустойчивость;Инициативность;Стремление к развитию
74644982,повар,Приготовление блюд;Соблюдение ттк,
74648049,менеджер по работе с клиентами,Владение ПК;Опыт работы в Call-центре;Опыт работы в продажах,Грамотная устная речь;Грамотность речи;Честность и порядочность;Отсутствие сквернословия;Позитивный настрой;Коммуникация и работа с клиентами;Выявление потребностей;Доведение до продажи;Договориться о доставке заказа;Подтверждение заказа
555,Выдуманная работа,Не хард скилл,Не софт скилл1;Не софт скилл2
